UTC Time,MES, R_Run, S_S, VN, UR_V, L_OP1I, L_OP1O, L_OP2I, L_OP2O, DI, DO, J_V_0, J_V_1, J_V_2, J_V_3, J_V_4, J_V_5, J_P_0, J_P_1, J_P_2, J_P_3, J_P_4, J_P_5, J_C_0, J_C_1, J_C_2, J_C_3, J_C_4, J_C_5, TCP_F_0, TCP_F_1, TCP_F_2, TCP_T_0, TCP_T_1, TCP_T_2,Label
1:54:56 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.07241334,0.09018262,-0.1004416,-1.662847,0.6178532,-0.1073577,2.223673,-0.4040294,-0.5201942,0.05275043,-0.01436249,-0.2579496,Normal
1:54:56 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.06093433,0.09418909,-0.1138514,-1.640128,0.6328794,-0.1849557,2.13453,-0.6030391,-0.411596,0.05756637,-0.01135886,-0.2504658,Normal
1:54:57 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.02251501,0.1048165,-0.111866,-1.720189,0.627591,-0.1770756,2.0763,-1.113113,-0.2686267,0.07004501,-0.007451008,-0.2487673,Normal
1:54:57 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.02641726,0.0786341,-0.1090468,-1.61979,0.664277,-0.1745727,2.194721,-0.7545004,-0.4231994,0.06083056,-0.01358023,-0.25568,Normal
1:54:58 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.044646,0.1115651,-0.1128219,-1.658204,0.6168506,-0.1221423,2.120615,-0.9883135,-0.5041594,0.06546802,-0.01538513,-0.2517358,Normal
1:54:58 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.05403731,0.1126562,-0.09312883,-1.662926,0.6588857,-0.1164594,2.165916,-0.6216951,-0.637422,0.05499616,-0.01763808,-0.2545151,Normal
1:54:59 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.07037242,0.1107882,-0.08566032,-1.720529,0.5759397,-0.1657762,2.260029,-0.3564438,-0.7698616,0.0500015,-0.02017672,-0.2596076,Normal
1:54:59 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.06944228,0.1168292,-0.09010933,-1.759772,0.6637321,-0.1526829,2.255206,-0.7172403,-0.3645265,0.05859265,-0.007651874,-0.2521516,Normal
1:55:00 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.05675282,0.1185436,-0.09336512,-1.691049,0.648815,-0.2042462,2.139041,-0.2634422,-0.6777732,0.04684646,-0.01745063,-0.259446,Normal
1:55:00 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.04930501,0.1023512,-0.09409632,-1.635607,0.6433889,-0.169264,2.092634,-0.4938964,-0.6929154,0.0505522,-0.01599869,-0.2563784,Normal
